contract_preamble,date,strike,yes_price,daily_volume,expiry_date,adjusted_yes_price,probability
U3-23FEB,2023-02-16,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-17,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-18,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-19,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-20,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-21,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-22,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-23,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-02-24,3.1,NA,NA,2023-03-10,NA,5.1020408163265305
U3-23FEB,2023-02-25,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-02-26,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-02-27,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-02-28,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-03-01,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-03-02,3.1,NA,NA,2023-03-10,NA,3.061224489795918
U3-23FEB,2023-03-03,3.1,NA,NA,2023-03-10,NA,3.061224489795918
U3-23FEB,2023-03-04,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-03-05,3.1,NA,NA,2023-03-10,NA,2.0408163265306123
U3-23FEB,2023-03-06,3.1,NA,NA,2023-03-10,NA,3.061224489795918
U3-23FEB,2023-03-07,3.1,NA,NA,2023-03-10,NA,3.061224489795918
U3-23FEB,2023-03-08,3.1,NA,NA,2023-03-10,NA,3.061224489795918
U3-23FEB,2023-03-09,3.1,NA,NA,2023-03-10,NA,4.081632653061225
U3-23FEB,2023-03-10,3.1,NA,NA,2023-03-10,NA,0
KXU3-24NOV,2024-11-06,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-07,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-08,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-09,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-10,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-11,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-12,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-13,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-14,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-15,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-16,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-17,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-18,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-19,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-20,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-21,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-22,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-23,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-24,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-25,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-26,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-27,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-28,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-29,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-11-30,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-01,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-02,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-03,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-04,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-05,3.1999999999999997,NA,NA,2024-12-06,NA,0
KXU3-24NOV,2024-12-06,3.1999999999999997,NA,NA,2024-12-06,NA,0
U3-22APR,2022-05-02,3.1999999999999997,NA,NA,2022-05-06,NA,6.122448979591836
U3-22APR,2022-05-03,3.1999999999999997,NA,NA,2022-05-06,NA,6.122448979591836
U3-22APR,2022-05-04,3.1999999999999997,NA,NA,2022-05-06,NA,6.122448979591836
U3-22APR,2022-05-05,3.1999999999999997,NA,NA,2022-05-06,NA,5.1020408163265305
U3-22APR,2022-05-06,3.1999999999999997,NA,NA,2022-05-06,NA,2.0408163265306123
U3-23DEC,2023-12-09,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-10,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-11,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-12,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-13,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-14,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-15,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-16,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-17,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-18,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-19,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-20,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-21,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-22,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-23,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-24,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-25,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-26,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-27,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-28,3.1999999999999997,NA,NA,2024-01-05,NA,0
U3-23DEC,2023-12-29,3.1999999999999997,NA,NA,2024-01-05,NA,0
